Positive,Negative,Neutral,adj_price,close_price
0.091,0.154,0.755,12469.971875,12469.971875
0.091,0.121,0.787,12472.245703,12472.245703
0.068,0.195,0.737,12474.519531,12474.519531
0.061,0.128,0.812,12480.69043,12480.69043
0.08,0.12,0.8,12398.009766,12398.009766
0.091,0.129,0.78,12406.503255333333,12406.503255333333
0.069,0.182,0.749,12414.996744666667,12414.996744666667
0.094,0.107,0.799,12423.490234,12423.490234
0.052,0.095,0.852,12416.599609,12416.599609
0.12,0.137,0.744,12442.160156,12442.160156
0.056,0.123,0.821,12514.980469,12514.980469
0.062,0.12,0.818,12556.080078,12556.080078
0.082,0.199,0.719,12562.7075195,12562.7075195
0.118,0.17,0.712,12569.334961,12569.334961
0.079,0.089,0.832,12575.9624025,12575.9624025
0.083,0.115,0.802,12582.589844,12582.589844
0.078,0.171,0.75,12577.150391,12577.150391
0.087,0.21,0.704,12567.929688,12567.929688
0.066,0.114,0.82,12565.530273,12565.530273
0.088,0.13,0.782,12536.073567333333,12536.073567333333
0.079,0.138,0.783,12506.616861666667,12506.616861666667
0.096,0.098,0.806,12477.160156,12477.160156
0.066,0.148,0.786,12533.799805,12533.799805
0.104,0.14,0.757,12621.769531,12621.769531
0.127,0.183,0.69,12502.55957,12502.55957
0.057,0.103,0.84,12487.019531,12487.019531
0.066,0.125,0.81,12488.273111666667,12488.273111666667
0.093,0.15,0.758,12489.526692333333,12489.526692333333
0.119,0.137,0.744,12490.780273,12490.780273
0.093,0.169,0.738,12523.30957,12523.30957
0.153,0.13,0.717,12621.69043,12621.69043
0.096,0.145,0.759,12673.679688,12673.679688
0.111,0.163,0.726,12653.490234,12653.490234
0.122,0.202,0.676,12656.240234,12656.240234
0.107,0.149,0.744,12658.990234,12658.990234
0.064,0.213,0.723,12661.740234,12661.740234
0.093,0.178,0.728,12666.30957,12666.30957
0.105,0.162,0.733,12666.870117,12666.870117
0.092,0.109,0.8,12637.629883,12637.629883
0.069,0.169,0.761,12580.830078,12580.830078
0.096,0.149,0.756,12571.403320333335,12571.403320333335
0.09,0.105,0.805,12561.976562666667,12561.976562666667
